,Job Title,Department,Age,Gender,Marital Status,Years of Service,Salary,Exited
0,HR Specialist,Human Resources,25,Male,Married,2,537.25,0
1,Project Manager,Sales & Marketing,53,Male,Single,8,154.13,0
2,Billing Specialist,IT & Software,44,Female,Married,8,368.54,0
3,Marketing Analyst,Data Analytics,37,Female,Married,7,269.92,0
4,Product Manager,IT & Software,30,Male,Single,4,131.17,0
5,Product Manager,Network Operations,53,Male,Married,5,627.5,0
6,Data Scientist,Field Operations,25,Male,Married,2,449.67,0
7,HR Specialist,Customer Service,49,Female,Single,8,400.42,0
8,Customer Support Agent,IT & Software,40,Female,Married,2,591.33,0
9,HR Specialist,Billing,28,Male,Married,4,398.13,0
10,Billing Specialist,Customer Service,25,Male,Married,2,634.38,0
11,Product Manager,Human Resources,24,Female,Married,7,513.79,0
12,Marketing Analyst,IT & Software,29,Female,Single,5,355.29,0
13,IT Support Engineer,IT & Software,34,Male,Single,8,388.04,0
14,Data Scientist,IT & Software,46,Female,Single,2,377.13,0
15,HR Specialist,Billing,53,Male,Married,3,458.13,0
16,IT Support Engineer,Sales & Marketing,48,Female,Married,2,166.58,0
17,Sales Executive,Field Operations,35,Male,Single,4,167.58,0
18,Telecom Technician,Network Operations,58,Male,Married,2,263.54,0
19,Telecom Technician,Project Management,54,Female,Single,8,312.0,0
20,Data Scientist,Field Operations,44,Male,Married,7,216.88,0
21,Customer Support Agent,Customer Service,46,Female,Single,8,377.08,0
22,Customer Support Agent,Project Management,24,Female,Single,4,164.38,0
23,Marketing Analyst,Network Operations,44,Female,Single,8,191.75,0
24,Product Manager,Customer Service,57,Male,Married,2,326.58,0
25,Telecom Technician,Human Resources,28,Female,Married,8,487.54,0
26,Network Engineer,Customer Service,37,Male,Married,3,475.5,0
27,Customer Support Agent,Project Management,31,Male,Single,8,313.38,0
28,Marketing Analyst,Customer Service,53,Female,Married,4,281.25,0
29,HR Specialist,Field Operations,22,Female,Single,8,351.58,0
30,HR Specialist,Human Resources,51,Female,Married,8,314.25,0
31,Software Developer,Customer Service,57,Male,Single,8,481.38,0
32,Software Developer,Customer Service,33,Male,Single,2,242.75,0
33,Sales Executive,Field Operations,50,Male,Married,4,502.29,0
34,Product Manager,Sales & Marketing,56,Male,Married,3,410.92,0
35,Marketing Analyst,Project Management,30,Male,Single,5,379.04,0
36,Telecom Technician,Project Management,39,Male,Single,3,425.92,0
37,Customer Support Agent,Customer Service,56,Male,Single,1,328.58,0
38,HR Specialist,Network Operations,28,Female,Married,6,273.38,0
39,Billing Specialist,Data Analytics,24,Female,Married,8,159.13,0
40,Software Developer,Sales & Marketing,29,Male,Married,2,364.0,0
41,Billing Specialist,Sales & Marketing,45,Female,Single,1,312.83,0
42,Customer Support Agent,Project Management,30,Female,Married,8,244.58,0
43,Project Manager,Project Management,52,Male,Married,7,370.17,0
44,Network Engineer,Field Operations,24,Female,Married,8,316.0,0
45,Sales Executive,Project Management,45,Female,Single,4,387.08,0
46,Network Engineer,Human Resources,38,Male,Single,4,506.04,0
47,HR Specialist,Network Operations,51,Female,Married,4,385.83,0
48,Marketing Analyst,Billing,27,Male,Married,6,449.29,0
49,IT Support Engineer,Sales & Marketing,47,Female,Married,5,661.5,0
50,Telecom Technician,Data Analytics,46,Male,Married,7,440.04,0
