S/N,Job Title,Department,Age,Gender,Marital Status,Years of Service,Salary
1,HR Specialist,Human Resources,25,Male,Married,2,537.25
2,Project Manager,Sales & Marketing,53,Male,Single,8,154.13
3,Billing Specialist,IT & Software,44,Female,Married,8,368.54
4,Marketing Analyst,Data Analytics,37,Female,Married,7,269.92
5,Product Manager,IT & Software,30,Male,Single,4,131.17
6,Product Manager,Network Operations,53,Male,Married,5,627.50
7,Data Scientist,Field Operations,25,Male,Married,2,449.67
8,HR Specialist,Customer Service,49,Female,Single,8,400.42
9,Customer Support Agent,IT & Software,40,Female,Married,2,591.33
10,HR Specialist,Billing,28,Male,Married,4,398.13
11,Billing Specialist,Customer Service,25,Male,Married,2,634.38
12,Product Manager,Human Resources,24,Female,Married,7,513.79
13,Marketing Analyst,IT & Software,29,Female,Single,5,355.29
14,IT Support Engineer,IT & Software,34,Male,Single,8,388.04
15,Data Scientist,IT & Software,46,Female,Single,2,377.13
16,HR Specialist,Billing,53,Male,Married,3,458.13
17,IT Support Engineer,Sales & Marketing,48,Female,Married,2,166.58
18,Sales Executive,Field Operations,35,Male,Single,4,167.58
19,Telecom Technician,Network Operations,58,Male,Married,2,263.54
20,Telecom Technician,Project Management,54,Female,Single,8,312.00
21,Data Scientist,Field Operations,44,Male,Married,7,216.88
22,Customer Support Agent,Customer Service,46,Female,Single,8,377.08
23,Customer Support Agent,Project Management,24,Female,Single,4,164.38
24,Marketing Analyst,Network Operations,44,Female,Single,8,191.75
25,Product Manager,Customer Service,57,Male,Married,2,326.58
26,Telecom Technician,Human Resources,28,Female,Married,8,487.54
27,Network Engineer,Customer Service,37,Male,Married,3,475.50
28,Customer Support Agent,Project Management,31,Male,Single,8,313.38
29,Marketing Analyst,Customer Service,53,Female,Married,4,281.25
30,HR Specialist,Field Operations,22,Female,Single,8,351.58
31,HR Specialist,Human Resources,51,Female,Married,8,314.25
32,Software Developer,Customer Service,57,Male,Single,8,481.38
33,Software Developer,Customer Service,33,Male,Single,2,242.75
34,Sales Executive,Field Operations,50,Male,Married,4,502.29
35,Product Manager,Sales & Marketing,56,Male,Married,3,410.92
36,Marketing Analyst,Project Management,30,Male,Single,5,379.04
37,Telecom Technician,Project Management,39,Male,Single,3,425.92
38,Customer Support Agent,Customer Service,56,Male,Single,1,328.58
39,HR Specialist,Network Operations,28,Female,Married,6,273.38
40,Billing Specialist,Data Analytics,24,Female,Married,8,159.13
41,Software Developer,Sales & Marketing,29,Male,Married,2,364.00
42,Billing Specialist,Sales & Marketing,45,Female,Single,1,312.83
43,Customer Support Agent,Project Management,30,Female,Married,8,244.58
44,Project Manager,Project Management,52,Male,Married,7,370.17
45,Network Engineer,Field Operations,24,Female,Married,8,316.00
46,Sales Executive,Project Management,45,Female,Single,4,387.08
47,Network Engineer,Human Resources,38,Male,Single,4,506.04
48,HR Specialist,Network Operations,51,Female,Married,4,385.83
49,Marketing Analyst,Billing,27,Male,Married,6,449.29
50,IT Support Engineer,Sales & Marketing,47,Female,Married,5,661.50
51,Telecom Technician,Data Analytics,46,Male,Married,7,440.04
52,IT Support Engineer,Human Resources,25,Female,Single,2,444.92
53,Marketing Analyst,IT & Software,58,Male,Single,6,414.33
54,Project Manager,Customer Service,54,Male,Married,2,650.42
55,Network Engineer,Field Operations,46,Female,Single,7,160.08
56,Customer Support Agent,Billing,27,Female,Single,2,478.38
57,Project Manager,Project Management,44,Male,Married,6,311.17
58,Marketing Analyst,Sales & Marketing,37,Male,Single,3,195.88
59,HR Specialist,IT & Software,30,Female,Married,2,504.50
60,HR Specialist,Human Resources,29,Male,Single,3,471.92
61,Billing Specialist,Project Management,38,Male,Married,2,287.63
62,Network Engineer,Network Operations,39,Male,Single,8,420.29
63,IT Support Engineer,Network Operations,47,Male,Single,4,377.29
64,Marketing Analyst,Data Analytics,24,Female,Married,4,562.08
65,IT Support Engineer,Human Resources,36,Female,Married,8,332.17
66,Marketing Analyst,Field Operations,44,Female,Single,2,419.67
